Login, Iniciar sesión
Logout, Cerrar sesión
Email, E-mail
Password, Contraseña
Forgot your password?, ¿Contraseña olvidada？
Create an account, Crear cuenta
Register, Registrar
Full Name, Nombre Completo
Full name, nombre completo
SIGN IN, Registrarse
Order History, Historial de pedidos
Account Details, Detalles de cuenta
You have not placed any orders yet, No hay pedido nada todavía
My Account, Mi cuenta
Already have an account?, ¿Tiene ya una cuenta?
Contact information, Información de contacto
City, Ciudad
Account Information, Información de cuenta
Address, dirección
Postcode, Código postal
Postcode is required, Código postal obligatorio
Telephone is required, Numero de telefono obligatorio
Telephone, Teléfono
Full name is required, Nombre completo obligatorio
Country is required, País obligatorio
Country, País
Province is required, Provincia es obligatorio
Province, Provincia
Billing Address, Dirección de facturación 
Shipping Address, Dirección de envío 
Create A New Account, Crear una cuenta nueva
Contact, Contacto
Customer information, Información del cliente